0,0,1,2,3,4,5,6,7,8
0,1.7503,21.205,-8.3416,-0.26274,-6.5288,-1.2983,-10.075,-2.8999,8.0354
1,6.7503,0.20513,6.6584,-0.26274,-34.529,24.702,-1.0746,41.1,42.035
2,4.7503,0.20513,-3.3416,-0.26274,17.471,-6.2983,-8.0746,-20.9,-11.965
3,-11.25,0.20513,-9.3416,-0.26274,-6.5288,16.702,2.9254,-2.8999,-5.9646
4,-11.25,0.20513,-6.3416,-0.26274,-0.52878,-27.298,5.9254,-4.8999,-11.965
5,36.75,0.20513,2.6584,-4.2627,-28.529,-0.29828,-34.075,32.1,66.035
6,7.7503,0.20513,-4.3416,-0.26274,-38.529,9.7017,-12.075,35.1,48.035
7,6.7503,-0.79487,9.6584,-3.2627,19.471,-5.2983,2.9254,-9.8999,-11.965
8,4.7503,8.2051,-8.3416,-0.26274,-6.5288,-1.2983,-14.075,-2.8999,10.035
9,-11.25,0.20513,15.658,-7.2627,-6.5288,-1.2983,26.925,22.1,-5.9646
10,-11.25,0.20513,-7.3416,-2.2627,-22.529,-1.2983,4.9254,14.1,10.035
11,-3.2497,0.20513,-1.3416,-0.26274,11.471,18.702,0.92545,-13.9,-13.965
12,-10.25,2.2051,-8.3416,-0.26274,3.4712,5.7017,1.9254,-12.9,-13.965
13,-11.25,0.20513,-7.3416,-0.26274,-36.529,3.7017,3.9254,30.1,26.035
14,-7.2497,0.20513,14.658,-0.26274,3.4712,-9.2983,21.925,10.1,-11.965
15,-7.2497,0.20513,3.6584,0.73726,3.4712,-17.298,10.925,-0.89986,-11.965
16,-1.2497,0.20513,-0.34156,-2.2627,11.471,-5.2983,0.92545,-11.9,-13.965
17,0.75025,0.20513,-6.3416,-0.26274,11.471,-6.2983,-7.0746,-18.9,-11.965
18,0.75025,3.2051,-3.3416,-0.26274,15.471,2.7017,-4.0746,-17.9,-13.965
19,-11.25,-317.79,19.658,-2.2627,1.4712,-5.2983,30.925,18.1,-13.965
20,-4.2497,3.2051,-8.3416,-0.26274,9.4712,0.70172,-4.0746,-17.9,-13.965
